"日期","动画","番剧","国创","音乐","舞蹈","游戏","科技","生活","鬼畜","时尚","广告","娱乐","影视","放映厅"
"2012年3月1日",216139732,570795295,6593420,231977947,41820810,200393150,3900927,223657087,111732186,0,96831,294188,3834838,4352412
"2012年3月2日",216650366,571288731,6598837,232608416,41828084,200756772,3900927,224488074,112092362,0,96831,294188,3834838,4355619
"2012年3月3日",217226970,586579903,6598837,233244325,41944454,202103903,3900927,225042946,112341224,0,96831,294188,3834838,4359176
"2012年3月4日",217783505,586817415,6598837,233616891,42047620,203127295,3900927,225561245,112422401,0,96831,294188,3834838,4359176
"2012年3月5日",218256284,587022458,6598837,234208270,42061621,203574077,3900927,226168436,112850422,0,96831,294188,3834838,4359176
"2012年3月6日",218526189,587913618,6598837,234390051,42103254,203849656,3900927,226559823,113353889,0,96831,294188,3834838,4359176
"2012年3月7日",218864165,590437804,6609599,234587385,42141220,204288160,3908595,227022087,113396679,0,96831,294188,3834838,4359176
"2012年3月8日",219168241,590517180,6609599,235042659,42176659,205597637,3908595,227507244,113627850,0,99888,294188,3834838,4359176
"2012年3月9日",219479318,591395562,6611663,236360652,43250606,206034122,3908595,227785973,113646370,0,99888,294188,3834838,4359176
"2012年3月10日",219932816,592133480,6611663,237085458,43328917,207642798,3926224,228374187,114312660,0,99888,294188,3834838,4359176
"2012年3月11日",220356489,592800434,6611663,237446450,43407762,208199344,3955901,228966537,114555441,0,99888,294188,3835899,4359176
"2012年3月12日",220621465,593138705,6660182,237937092,43438732,208447251,3959711,229299439,115015421,0,99888,294188,3839336,4359176
"2012年3月13日",221399725,593801315,6660182,238563507,43725239,209060039,3959711,229615105,115059350,0,99888,294188,3839336,4362927
"2012年3月14日",221627502,593919385,6660182,239026254,43738992,209452546,3959711,230040374,115146062,0,99888,294188,3839336,4369515
"2012年3月15日",221923729,593975615,6663791,239267951,43811142,210163248,3960999,230864898,115168736,0,99888,294188,3839336,4369515
